gene,eqZ,wbZ,ntZ,multiZ
ENSG00000067057,-2.10304,-0.791291,,
ENSG00000067082,1.9683,,,
ENSG00000067141,2.20386,,0.712674,
ENSG00000067167,1.84875,,-0.0676974,
ENSG00000067208,-2.55618,-2.51953,-4.63988,-5.06247
ENSG00000067221,-0.4405,-0.961629,,
ENSG00000067225,-0.346059,-1.70514,,
ENSG00000067248,-0.938142,-0.153873,,
ENSG00000067334,0.279314,,0.849216,
ENSG00000067365,-0.743786,,,
ENSG00000067533,0.612312,,,
ENSG00000067596,2.71166,,,
ENSG00000067606,1.89535,3.08777,,
ENSG00000067704,3.27998,-0.0116203,-0.233366,-0.173232
ENSG00000067715,2.14231,0.493761,,
ENSG00000067836,-4.92947,,,
ENSG00000067900,0.970468,,0.407292,
ENSG00000067955,1.14243,,,
ENSG00000068001,-0.227042,,,
ENSG00000068028,-2.38745,,,
ENSG00000068079,0.101238,,,
ENSG00000068097,0.692707,0.328691,1.05992,0.9819
ENSG00000068120,1.31511,,,
ENSG00000068137,-1.65931,,-3.1742,
ENSG00000068305,-2.4667,-2.68702,-1.3751,-2.87235
ENSG00000068383,0.234704,-0.230412,,
ENSG00000068489,1.43108,,,
ENSG00000068615,0.946227,,1.68832,
ENSG00000068650,-0.244594,,-1.4734,
ENSG00000068654,-0.996021,-1.59087,-1.49283,-2.1805
