gene,eqZ,wbZ,ntZ,multiZ
ENSG00000056972,-1.78498,-0.418943,3.64716,2.2827
ENSG00000057019,0.138921,0.644169,-1.76993,-0.796036
ENSG00000057252,0.683238,0.620965,-1.99019,-0.968185
ENSG00000057608,-2.02848,-1.14302,-0.915686,-1.45573
ENSG00000057704,-1.56708,0.147265,-0.17792,-0.0216762
ENSG00000057935,-0.986187,-1.04547,-0.988894,-1.43852
ENSG00000058056,0.935805,-1.08956,-1.85914,-2.08504
ENSG00000058063,-2.43118,-0.858676,-0.552522,-0.997868
ENSG00000058091,2.56447,1.16277,0.464882,1.15092
ENSG00000058453,2.75491,-0.361071,1.64693,0.909237
ENSG00000058729,0.135799,-0.0689862,0.329069,0.183906
ENSG00000058799,0.299534,-0.0429368,0.244651,0.142633
ENSG00000059122,1.77608,0.684129,1.20391,1.33505
ENSG00000059378,1.1629,1.81325,2.47995,3.03575
ENSG00000059588,-2.11303,-1.88919,1.7963,-0.0656792
ENSG00000059691,-1.54474,-1.47323,-2.82339,-3.03817
ENSG00000059758,1.56071,-1.31525,0.57384,-0.524258
ENSG00000059769,-0.1139,-1.37581,1.51693,0.0997838
ENSG00000059915,-3.71554,-0.578367,-0.578367,-0.817934
ENSG00000060069,-1.61612,-6.90189,2.77555,-2.91777
ENSG00000060138,0.428644,-0.80852,-0.374987,-0.836866
ENSG00000060140,0.173949,-1.42686,1.11109,-0.223279
ENSG00000060491,0.835316,1.13152,1.26568,1.69508
ENSG00000060558,-1.8968,-1.19399,-0.539231,-1.22557
ENSG00000060642,2.71625,2.28321,2.28321,3.22894
ENSG00000060749,-1.15077,-0.919989,-0.74917,-1.18027
ENSG00000060762,1.33511,-1.17518,0.309465,-0.612152
ENSG00000060982,0.279462,1.81271,-2.26299,-0.318399
ENSG00000061273,-1.65212,-0.20886,0.898077,0.48735
ENSG00000061337,0.642248,0.00491184,0.328131,0.235497
ENSG00000061794,0.772537,-1.53794,-0.643272,-1.54235
ENSG00000061918,0.482041,0.416083,0.40964,0.583874
ENSG00000061936,1.65523,1.18989,1.48309,1.89008
ENSG00000061938,-1.41351,1.24985,-0.123147,0.796696
ENSG00000061987,-1.21583,1.09654,0.685704,1.26024
ENSG00000062282,0.0670093,-0.13393,-0.13393,-0.189406
ENSG00000062485,4.2437,-1.89429,-2.99755,-3.45905
ENSG00000062582,-0.128869,0.738146,0.55881,0.917086
ENSG00000062650,-1.99067,-2.26077,1.71938,-0.382818
ENSG00000062716,-1.10228,-0.695435,1.04057,0.244048
ENSG00000063015,-1.64788,0.347591,-1.95027,-1.13327
ENSG00000063046,-0.756971,-0.631303,-1.61171,-1.58605
ENSG00000063127,0.213468,-0.0315742,-0.07616,-0.0761796
ENSG00000063169,-1.22319,-0.717027,0.520821,-0.138738
ENSG00000063176,-4.23693,0.804449,-1.4946,-0.488013
ENSG00000063180,-4.70485,-1.06479,-1.72245,-1.97087
ENSG00000063241,-0.731316,0.000777368,0.224664,0.159411
ENSG00000063244,-0.542115,0.321243,0.321243,0.454306
ENSG00000063245,-0.952283,-0.402061,0.110252,-0.20634
ENSG00000063438,-0.686051,-0.620774,0.0277861,-0.419306
ENSG00000063761,2.34628,2.17594,1.92981,2.9032
ENSG00000063854,1.07754,-0.892884,-1.03802,-1.36535
ENSG00000064012,-0.575213,-0.894564,-0.790032,-1.19119
ENSG00000064042,-3.01265,-1.36101,1.36101,0
ENSG00000064102,-2.07965,-1.6544,0.0330734,-1.14645
ENSG00000064199,2.00679,1.58137,1.51613,2.19026
ENSG00000064201,0.884008,0.175965,-0.61745,-0.312177
ENSG00000064225,0.977916,1.13493,-2.9466,-1.28105
ENSG00000064313,0.786373,1.53079,-0.253152,0.903429
ENSG00000064419,4.48826,0.663093,-3.51713,-2.01811
ENSG00000064490,-1.19276,-1.75614,1.61085,-0.102734
ENSG00000064545,-6.52402,0.348601,-0.564685,-0.152794
ENSG00000064547,-6.90207,-13.7528,-4.78116,-13.1055
ENSG00000064601,-3.71268,0.402387,-2.35615,-1.38152
ENSG00000064607,1.19134,1.19021,2.56023,2.65196
ENSG00000064652,0.0455133,-0.0282081,0.547934,0.367502
ENSG00000064666,-0.0216246,0.0291306,-3.90883,-2.74336
ENSG00000064687,2.05757,-0.603262,-0.240976,-0.596967
ENSG00000064703,0.965613,-0.798594,0.290865,-0.359019
ENSG00000064726,1.20929,-1.01163,3.52063,1.77414
ENSG00000064763,-3.17514,1.68197,0.623247,1.63003
